yr|subject|winner
1962|Peace|Linus Pauling
2003|Chemistry|Roderick MacKinnon
1973|Chemistry|Geoffrey Wilkinson
1912|Medicine|Alexis Carrel
1996|Economics|James A. Mirrlees
1937|Chemistry|Paul Karrer
1947|Literature|AndrÃ© Gide
1936|Physics|Victor F. Hess
1931|Peace|Nicholas Murray Butler
2011|Medicine|Bruce Beutler
1975|Chemistry|John Cornforth
1963|Chemistry|Giulio Natta
2004|Literature|Elfriede Jelinek
1939|Medicine|Gerhard Domagk
1976|Physics|Burton Richter
1939|Chemistry|Adolf Butenandt
1984|Chemistry|Bruce Merrifield
1919|Medicine|Jules Bordet
2013|Physics|Peter W. Higgs
1956|Physics|William B. Shockley
1924|Literature|Wladyslaw Reymont
1987|Physics|J. Georg Bednorz
1907|Chemistry|Eduard Buchner
1945|Chemistry|Artturi Virtanen
2008|Chemistry|Roger Y. Tsien
1957|Peace|Lester Bowles Pearson
2011|Economics|Christopher A. Sims
1985|Chemistry|Jerome Karle
1978|Chemistry|Peter Mitchell
1939|Literature|Frans Eemil SillanpÃ¤Ã¤
1959|Medicine|Arthur Kornberg
1992|Medicine|Edmond H. Fischer
1919|Physics|Johannes Stark
1947|Chemistry|Sir Robert Robinson
2000|Chemistry|Hideki Shirakawa
1944|Medicine|Joseph Erlanger
1988|Physics|Melvin Schwartz
2002|Physics|Masatoshi Koshiba
2010|Medicine|Robert G. Edwards
1973|Peace|Henry Kissinger
1985|Medicine|Michael S. Brown
2002|Economics|Daniel Kahneman
1930|Medicine|Karl Landsteiner
2011|Peace|Ellen Johnson Sirleaf
1982|Economics|George J. Stigler
1965|Literature|Mikhail Sholokhov
1917|Peace|International Committee of the Red Cross
1910|Chemistry|Otto Wallach
2001|Economics|Joseph E. Stiglitz
1954|Medicine|John F. Enders
1994|Physics|Bertram N. Brockhouse
1982|Medicine|Bengt I. Samuelsson
2005|Peace|Mohamed ElBaradei
1951|Medicine|Max Theiler
1958|Medicine|Joshua Lederberg
2009|Chemistry|Venkatraman Ramakrishnan
2013|Economics|Robert J. Shiller
1957|Physics|Tsung-Dao Lee
1976|Medicine|Baruch S. Blumberg
1929|Peace|Frank B. Kellogg
1911|Peace|Tobias Asser
1921|Peace|Hjalmar Branting
2014|Medicine|Edvard Moser
1950|Medicine|Edward C. Kendall
1935|Peace|Carl von Ossietzky
1996|Chemistry|Robert F. Curl Jr.
2014|Medicine|John O'Keefe
2005|Medicine|Barry J. Marshall
1999|Physics|Gerardus 't Hooft
2000|Medicine|Paul Greengard
1950|Medicine|Philip S. Hench
1998|Economics|Amartya Sen
1959|Physics|Owen Chamberlain
1995|Peace|Pugwash Conferences on Science and World Affairs
2011|Physics|Saul Perlmutter
1979|Medicine|Allan M. Cormack
1933|Peace|Sir Norman Angell
1906|Literature|GiosuÃ¨ Carducci
1980|Chemistry|Frederick Sanger
1905|Peace|Bertha von Suttner
1923|Literature|William Butler Yeats
1988|Chemistry|Johann Deisenhofer
2013|Medicine|James E. Rothman
1912|Chemistry|Paul Sabatier
1947|Medicine|Carl Cori
1960|Medicine|Sir Frank Macfarlane Burnet
1989|Medicine|Harold E. Varmus
1980|Chemistry|Walter Gilbert
1948|Chemistry|Arne Tiselius
1979|Peace|Mother Teresa
1980|Peace|Adolfo PÃ©rez Esquivel
1967|Medicine|Ragnar Granit
1997|Physics|Steven Chu
1957|Medicine|Daniel Bovet
1984|Medicine|Georges J.F. KÃ¶hler
1977|Peace|Amnesty International
1977|Physics|Sir Nevill F. Mott
2011|Peace|Tawakel Karman
1908|Chemistry|Ernest Rutherford
2005|Medicine|J. Robin Warren
1968|Medicine|H. Gobind Khorana
1956|Medicine|AndrÃ© F. Cournand
1970|Economics|Paul A. Samuelson
1993|Physics|Joseph H. Taylor Jr.
2015|Physics|Takaaki Kajita
1983|Medicine|Barbara McClintock
1950|Chemistry|Kurt Alder
1990|Economics|Harry M. Markowitz
1952|Chemistry|Archer J.P. Martin
1974|Physics|Antony Hewish
1974|Medicine|Albert Claude
1909|Peace|Auguste Beernaert
1902|Chemistry|Emil Fischer
1915|Physics|Lawrence Bragg
1989|Physics|Norman F. Ramsey
1995|Literature|Seamus Heaney
1979|Physics|Sheldon Glashow
1954|Medicine|Thomas H. Weller
1994|Peace|Shimon Peres
1995|Physics|Martin L. Perl
2005|Chemistry|Richard R. Schrock
1964|Physics|Nicolay G. Basov
1935|Physics|James Chadwick
1925|Literature|George Bernard Shaw
1967|Medicine|George Wald
1995|Economics|Robert E. Lucas Jr.
1978|Peace|Menachem Begin
2014|Chemistry|Eric Betzig
2015|Medicine|Tu Youyou
1993|Medicine|Phillip A. Sharp
1979|Chemistry|Georg Wittig
1905|Physics|Philipp Lenard
1926|Medicine|Johannes Fibiger
1957|Chemistry|Lord Todd
2011|Literature|Tomas TranstrÃ¶mer
1982|Peace|Alfonso GarcÃ­a Robles
1935|Chemistry|IrÃ¨ne Joliot-Curie
1939|Physics|Ernest Lawrence
1999|Chemistry|Ahmed Zewail
1918|Physics|Max Planck
1970|Medicine|Ulf von Euler
1996|Physics|David M. Lee
2005|Chemistry|Robert H. Grubbs
1963|Peace|International Committee of the Red Cross
1991|Economics|Ronald H. Coase
1936|Physics|Carl D. Anderson
1965|Peace|United Nations Children's Fund
2015|Literature|Svetlana Alexievich
2002|Physics|Riccardo Giacconi
1994|Chemistry|George A. Olah
1988|Physics|Leon M. Lederman
2005|Literature|Harold Pinter
1981|Medicine|Roger W. Sperry
2005|Physics|Roy J. Glauber
1956|Medicine|Werner Forssmann
1966|Chemistry|Robert S. Mulliken
2013|Physics|FranÃ§ois Englert
1975|Literature|Eugenio Montale
1902|Literature|Theodor Mommsen
2004|Medicine|Richard Axel
2009|Medicine|Jack W. Szostak
1974|Physics|Martin Ryle
1908|Physics|Gabriel Lippmann
1975|Economics|Tjalling C. Koopmans
1998|Literature|JosÃ© Saramago
1969|Economics|Jan Tinbergen
1956|Literature|Juan RamÃ³n JimÃ©nez
1943|Chemistry|George de Hevesy
1993|Literature|Toni Morrison
2006|Physics|John C. Mather
1965|Physics|Julian Schwinger
2007|Medicine|Mario R. Capecchi
1980|Chemistry|Paul Berg
1925|Physics|Gustav Hertz
1992|Physics|Georges Charpak
1970|Medicine|Sir Bernard Katz
1931|Literature|Erik Axel Karlfeldt
2001|Physics|Carl E. Wieman
1993|Economics|Douglass C. North
2004|Chemistry|Avram Hershko
1976|Physics|Samuel C.C. Ting
1961|Chemistry|Melvin Calvin
1980|Medicine|Jean Dausset
1965|Physics|Sin-Itiro Tomonaga
1929|Medicine|Sir Frederick Hopkins
2008|Chemistry|Martin Chalfie
1978|Medicine|Hamilton O. Smith
1928|Physics|Owen Willans Richardson
1988|Chemistry|Hartmut Michel
1919|Peace|Woodrow Wilson
2007|Chemistry|Gerhard Ertl
1932|Chemistry|Irving Langmuir
1964|Peace|Martin Luther King Jr.
1994|Economics|John F. Nash Jr.
1910|Physics|Johannes Diderik van der Waals
1901|Physics|Wilhelm Conrad RÃ¶ntgen
2009|Medicine|Elizabeth Blackburn
2000|Physics|Zhores I. Alferov
1962|Physics|Lev Landau
1911|Literature|Maurice Maeterlinck
1954|Literature|Ernest Hemingway
2008|Peace|Martti Ahtisaari
1934|Medicine|William P. Murphy
1976|Peace|Mairead Corrigan
1943|Medicine|Edward A. Doisy
1921|Chemistry|Frederick Soddy
1926|Peace|Gustav Stresemann
1973|Economics|Wassily Leontief
1974|Peace|SeÃ¡n MacBride
2004|Economics|Finn E. Kydland
1971|Peace|Willy Brandt
1973|Physics|Ivar Giaever
1952|Literature|FranÃ§ois Mauriac
1989|Physics|Wolfgang Paul
1972|Chemistry|Christian Anfinsen
1964|Physics|Aleksandr M. Prokhorov
1973|Literature|Patrick White
1928|Medicine|Charles Nicolle
1998|Physics|Robert B. Laughlin
2009|Literature|Herta MÃ¼ller
1983|Physics|Subramanyan Chandrasekhar
1990|Physics|Jerome I. Friedman
2012|Chemistry|Robert J. Lefkowitz
1997|Medicine|Stanley B. Prusiner
1995|Chemistry|F. Sherwood Rowland
1904|Physics|Lord Rayleigh
2001|Physics|Eric A. Cornell
1903|Literature|BjÃ¸rnstjerne BjÃ¸rnson
1998|Physics|Horst L. StÃ¶rmer
1936|Literature|Eugene O'Neill
1901|Peace|Henry Dunant
2008|Physics|Toshihide Maskawa
1977|Physics|Philip W. Anderson
2011|Chemistry|Dan Shechtman
1958|Literature|Boris Pasternak
2007|Medicine|Sir Martin J. Evans
2003|Chemistry|Peter Agre
1988|Chemistry|Robert Huber
1937|Literature|Roger Martin du Gard
1972|Chemistry|Stanford Moore
1907|Medicine|Alphonse Laveran
1950|Medicine|Tadeus Reichstein
1906|Medicine|Santiago RamÃ³n y Cajal
1952|Physics|E. M. Purcell
1979|Physics|Steven Weinberg
1923|Medicine|John Macleod
1923|Medicine|Frederick G. Banting
1913|Chemistry|Alfred Werner
1993|Chemistry|Michael Smith
2015|Chemistry|Aziz Sancar
2011|Medicine|Ralph M. Steinman
1952|Chemistry|Richard L.M. Synge
1954|Physics|Walther Bothe
1934|Medicine|George R. Minot
1997|Chemistry|John E. Walker
1949|Peace|Lord Boyd Orr
1984|Medicine|CÃ©sar Milstein
1985|Literature|Claude Simon
1968|Literature|Yasunari Kawabata
2012|Physics|David J. Wineland
1990|Peace|Mikhail Gorbachev
2002|Physics|Raymond Davis Jr.
1986|Chemistry|Dudley R. Herschbach
2013|Economics|Lars Peter Hansen
1907|Peace|Louis Renault
1965|Physics|Richard P. Feynman
1903|Medicine|Niels Ryberg Finsen
1926|Peace|Aristide Briand
1945|Peace|Cordell Hull
1958|Medicine|Edward Tatum
1936|Peace|Carlos Saavedra Lamas
1954|Physics|Max Born
1933|Physics|Paul A.M. Dirac
2004|Peace|Wangari Maathai
1909|Physics|Ferdinand Braun
1980|Medicine|George D. Snell
1989|Peace|The 14th Dalai Lama
1975|Physics|Ben R. Mottelson
1950|Peace|Ralph Bunche
1984|Peace|Desmond Tutu
1969|Medicine|Max DelbrÃ¼ck
1991|Chemistry|Richard R. Ernst
1921|Literature|Anatole France
1960|Physics|Donald A. Glaser
1992|Medicine|Edwin G. Krebs
1994|Medicine|Martin Rodbell
1972|Physics|Robert Schrieffer
1922|Physics|Niels Bohr
1956|Chemistry|Nikolay Semenov
1927|Peace|Ludwig Quidde
1974|Chemistry|Paul J. Flory
2015|Chemistry|Tomas Lindahl
1908|Peace|Fredrik Bajer
1980|Economics|Lawrence R. Klein
1981|Medicine|Torsten N. Wiesel
1969|Literature|Samuel Beckett
2002|Medicine|Sydney Brenner
1971|Literature|Pablo Neruda
1958|Physics|Igor Y. Tamm
1945|Physics|Wolfgang Pauli
1966|Literature|Shmuel Agnon
2000|Medicine|Eric R. Kandel
2006|Economics|Edmund S. Phelps
2010|Economics|Dale T. Mortensen
2007|Physics|Peter GrÃ¼nberg
2009|Chemistry|Ada Yonath
2007|Physics|Albert Fert
2006|Literature|Orhan Pamuk
2009|Medicine|Carol W. Greider
1989|Chemistry|Thomas R. Cech
1973|Physics|Brian D. Josephson
1949|Medicine|Egas Moniz
1970|Peace|Norman Borlaug
1925|Physics|James Franck
1929|Medicine|Christiaan Eijkman
1978|Physics|Arno Penzias
1922|Medicine|Otto Meyerhof
1993|Peace|F.W. de Klerk
2006|Peace|Muhammad Yunus
1967|Chemistry|George Porter
1991|Physics|Pierre-Gilles de Gennes
1975|Physics|Aage N. Bohr
2002|Literature|Imre KertÃ©sz
1903|Chemistry|Svante Arrhenius
1988|Economics|Maurice Allais
2014|Medicine|May-Britt Moser
1966|Literature|Nelly Sachs
1981|Physics|Nicolaas Bloembergen
1912|Peace|Elihu Root
1914|Physics|Max von Laue
2005|Economics|Robert J. Aumann
1928|Literature|Sigrid Undset
1996|Chemistry|Sir Harold Kroto
1988|Literature|Naguib Mahfouz
1995|Medicine|Edward B. Lewis
1919|Literature|Carl Spitteler
2000|Physics|Jack S. Kilby
1957|Physics|Chen Ning Yang
2014|Chemistry|William Moerner
1994|Peace|Yasser Arafat
1988|Medicine|George H. Hitchings
1965|Medicine|FranÃ§ois Jacob
1945|Medicine|Ernst B. Chain
1926|Physics|Jean Baptiste Perrin
1933|Physics|Erwin SchrÃ¶dinger
1995|Medicine|Eric F. Wieschaus
1986|Literature|Wole Soyinka
2009|Peace|Barack Obama
1954|Chemistry|Linus Pauling
1989|Physics|Hans G. Dehmelt
1951|Physics|Ernest T.S. Walton
1996|Physics|Douglas D. Osheroff
2015|Chemistry|Paul L. Modrich
1972|Economics|Kenneth J. Arrow
1915|Chemistry|Richard WillstÃ¤tter
1990|Chemistry|Elias James Corey
1915|Physics|William Bragg
1934|Medicine|George H. Whipple
2015|Medicine|William C. Campbell
1947|Peace|Friends Service Council
2001|Economics|George A. Akerlof
2000|Medicine|Arvid Carlsson
1909|Chemistry|Wilhelm Ostwald
2009|Physics|Willard S. Boyle
1983|Literature|William Golding
1987|Chemistry|Charles J. Pedersen
2013|Chemistry|Arieh Warshel
1984|Physics|Simon van der Meer
1904|Medicine|Ivan Pavlov
1917|Literature|Karl Gjellerup
2000|Physics|Herbert Kroemer
1925|Chemistry|Richard Zsigmondy
1937|Medicine|Albert Szent-GyÃ¶rgyi
1970|Physics|Louis NÃ©el
1931|Peace|Jane Addams
1961|Peace|Dag HammarskjÃ¶ld
1922|Literature|Jacinto Benavente
1937|Physics|Clinton Davisson
1990|Economics|William F. Sharpe
2003|Economics|Clive W.J. Granger
1920|Chemistry|Walther Nernst
1945|Medicine|Sir Howard Florey
1986|Economics|James M. Buchanan Jr.
1986|Physics|Ernst Ruska
1963|Physics|Eugene Wigner
1996|Literature|Wislawa Szymborska
2000|Economics|Daniel L. McFadden
2005|Peace|International Atomic Energy Agency
1946|Peace|Emily Greene Balch
1995|Peace|Joseph Rotblat
2000|Chemistry|Alan Heeger
1927|Chemistry|Heinrich Wieland
1958|Peace|Georges Pire
1984|Medicine|Niels K. Jerne
1951|Chemistry|Edwin M. McMillan
1913|Literature|Rabindranath Tagore
1990|Medicine|E. Donnall Thomas
1952|Medicine|Selman A. Waksman
1998|Peace|John Hume
1991|Medicine|Bert Sakmann
1970|Physics|Hannes AlfvÃ©n
2003|Economics|Robert F. Engle III
1990|Physics|Henry W. Kendall
1975|Medicine|David Baltimore
2012|Medicine|John B. Gurdon
1961|Literature|Ivo Andric
1945|Literature|Gabriela Mistral
2002|Chemistry|Koichi Tanaka
1935|Medicine|Hans Spemann
1964|Literature|Jean-Paul Sartre
1961|Physics|Rudolf MÃ¶ssbauer
2006|Medicine|Craig C. Mello
1978|Medicine|Daniel Nathans
1902|Peace|Albert Gobat
2014|Literature|Patrick Modiano
1995|Physics|Frederick Reines
1946|Chemistry|Wendell M. Stanley
1981|Chemistry|Kenichi Fukui
1986|Peace|Elie Wiesel
1983|Peace|Lech Walesa
2008|Medicine|Luc Montagnier
1953|Physics|Frits Zernike
2003|Physics|Alexei A. Abrikosov
1976|Chemistry|William Lipscomb
2014|Economics|Jean Tirole
1953|Peace|George C. Marshall
2008|Literature|Jean-Marie Gustave Le ClÃ©zio
1905|Medicine|Robert Koch
1932|Physics|Werner Heisenberg
1979|Physics|Abdus Salam
1997|Literature|Dario Fo
1994|Economics|John C. Harsanyi
1972|Physics|John Bardeen
1993|Medicine|Richard J. Roberts
1996|Peace|JosÃ© Ramos-Horta
1969|Chemistry|Odd Hassel
1943|Physics|Otto Stern
1962|Medicine|James Watson
1950|Literature|Bertrand Russell
1955|Chemistry|Vincent du Vigneaud
1986|Physics|Heinrich Rohrer
1996|Peace|Carlos Filipe Ximenes Belo
1937|Peace|Robert Cecil
1994|Physics|Clifford G. Shull
2014|Physics|Isamu Akasaki
2007|Peace|Al Gore
1991|Peace|Aung San Suu Kyi
1972|Medicine|Gerald M. Edelman
2013|Economics|Eugene F. Fama
1908|Medicine|Ilya Mechnikov
1961|Physics|Robert Hofstadter
1993|Peace|Nelson Mandela
1990|Economics|Merton H. Miller
1974|Peace|Eisaku Sato
2004|Chemistry|Irwin Rose
1926|Literature|Grazia Deledda
2004|Chemistry|Aaron Ciechanover
2014|Chemistry|Stefan Hell
1993|Chemistry|Kary B. Mullis
1903|Physics|Marie Curie
2005|Physics|Theodor W. HÃ¤nsch
1950|Chemistry|Otto Diels
1981|Medicine|David H. Hubel
1999|Peace|MÃ©decins Sans FrontiÃ¨res
1934|Peace|Arthur Henderson
1965|Medicine|Jacques Monod
1987|Economics|Robert M. Solow
1955|Physics|Polykarp Kusch
1984|Economics|Richard Stone
1908|Peace|Klas Pontus Arnoldson
1901|Medicine|Emil von Behring
1995|Chemistry|Paul J. Crutzen
2010|Physics|Andre Geim
2008|Physics|Makoto Kobayashi
2001|Physics|Wolfgang Ketterle
1963|Chemistry|Karl Ziegler
2010|Economics|Peter A. Diamond
1980|Literature|Czeslaw Milosz
1914|Chemistry|Theodore W. Richards
1958|Physics|Pavel A. Cherenkov
1998|Medicine|Louis J. Ignarro
2014|Physics|Shuji Nakamura
1949|Physics|Hideki Yukawa
2008|Medicine|FranÃ§oise BarrÃ©-Sinoussi
1997|Chemistry|Jens C. Skou
2003|Medicine|Sir Peter Mansfield
1968|Medicine|Robert W. Holley
2007|Economics|Roger B. Myerson
1962|Literature|John Steinbeck
1925|Peace|Sir Austen Chamberlain
1960|Literature|Saint-John Perse
1929|Chemistry|Hans von Euler-Chelpin
1978|Economics|Herbert A. Simon
1921|Peace|Christian Lange
1958|Physics|IlÂ´ja M. Frank
1987|Peace|Oscar Arias SÃ¡nchez
1932|Medicine|Edgar Adrian
1938|Peace|Nansen International Office for Refugees
1987|Chemistry|Jean-Marie Lehn
1903|Physics|Pierre Curie
1944|Medicine|Herbert S. Gasser
1997|Physics|Claude Cohen-Tannoudji
1914|Medicine|Robert BÃ¡rÃ¡ny
1925|Peace|Charles G. Dawes
1964|Chemistry|Dorothy Crowfoot Hodgkin
1972|Medicine|Rodney R. Porter
1929|Literature|Thomas Mann
1930|Peace|Nathan SÃ¶derblom
1906|Chemistry|Henri Moissan
2013|Chemistry|Martin Karplus
1947|Medicine|Gerty Cori
1959|Medicine|Severo Ochoa
1974|Medicine|George E. Palade
2009|Chemistry|Thomas A. Steitz
1985|Medicine|Joseph L. Goldstein
1904|Chemistry|Sir William Ramsay
1979|Literature|Odysseus Elytis
1999|Medicine|GÃ¼nter Blobel
2015|Economics|Angus Deaton
1998|Medicine|Ferid Murad
1946|Chemistry|James B. Sumner
2005|Chemistry|Yves Chauvin
1992|Peace|Rigoberta MenchÃº Tum
1981|Chemistry|Roald Hoffmann
1960|Peace|Albert Lutuli
1910|Peace|Permanent International Peace Bureau
1928|Chemistry|Adolf Windaus
1955|Literature|HalldÃ³r Laxness
1963|Medicine|Alan L. Hodgkin
1973|Peace|Le Duc Tho
2003|Physics|Vitaly L. Ginzburg
2009|Physics|Charles K. Kao
1934|Chemistry|Harold C. Urey
2001|Medicine|Sir Paul Nurse
2012|Peace|European Union
1909|Literature|Selma LagerlÃ¶f
2001|Peace|Kofi Annan
1980|Physics|Val Fitch
1992|Chemistry|Rudolph A. Marcus
1951|Peace|LÃ©on Jouhaux
2000|Peace|Kim Dae-jung
1975|Physics|James Rainwater
1982|Medicine|Sune K. BergstrÃ¶m
1913|Medicine|Charles Richet
1931|Chemistry|Friedrich Bergius
2005|Economics|Thomas C. Schelling
2011|Economics|Thomas J. Sargent
1987|Literature|Joseph Brodsky
2011|Peace|Leymah Gbowee
1975|Economics|Leonid Vitaliyevich Kantorovich
2013|Literature|Alice Munro
1912|Literature|Gerhart Hauptmann
1999|Economics|Robert A. Mundell
1988|Peace|United Nations Peacekeeping Forces
1970|Literature|Alexandr Solzhenitsyn
1927|Peace|Ferdinand Buisson
1946|Physics|Percy W. Bridgman
1951|Chemistry|Glenn T. Seaborg
1982|Medicine|John R. Vane
1955|Medicine|Hugo Theorell
1902|Medicine|Ronald Ross
1905|Chemistry|Adolf von Baeyer
2012|Economics|Lloyd S. Shapley
1963|Peace|League of Red Cross Societies
1949|Chemistry|William F. Giauque
1973|Medicine|Konrad Lorenz
1933|Literature|Ivan Bunin
1973|Physics|Leo Esaki
1968|Physics|Luis Alvarez
1910|Medicine|Albrecht Kossel
1987|Physics|K. Alex MÃ¼ller
1967|Chemistry|Ronald G.W. Norrish
2001|Peace|United Nations
1991|Medicine|Erwin Neher
1946|Chemistry|John H. Northrop
2013|Medicine|Thomas C. SÃ¼dhof
1967|Medicine|Haldan K. Hartline
1982|Physics|Kenneth G. Wilson
1956|Medicine|Dickinson W. Richards
1987|Medicine|Susumu Tonegawa
2003|Medicine|Paul C. Lauterbur
2009|Economics|Oliver E. Williamson
2004|Physics|H. David Politzer
1994|Peace|Yitzhak Rabin
1962|Chemistry|Max F. Perutz
1907|Physics|Albert A. Michelson
1986|Chemistry|John C. Polanyi
1904|Peace|Institute of International Law
1995|Medicine|Christiane NÃ¼sslein-Volhard
1920|Physics|Charles Edouard Guillaume
1973|Chemistry|Ernst Otto Fischer
1962|Medicine|Maurice Wilkins
1986|Chemistry|Yuan T. Lee
1994|Economics|Reinhard Selten
1979|Economics|Theodore W. Schultz
1964|Medicine|Feodor Lynen
1936|Medicine|Sir Henry Dale
1953|Chemistry|Hermann Staudinger
1968|Chemistry|Lars Onsager
1927|Physics|C.T.R. Wilson
1967|Chemistry|Manfred Eigen
1945|Medicine|Sir Alexander Fleming
1998|Peace|David Trimble
2008|Economics|Paul Krugman
1915|Literature|Romain Rolland
1952|Physics|Felix Bloch
1920|Medicine|August Krogh
1998|Physics|Daniel C. Tsui
1970|Chemistry|Luis Leloir
1913|Physics|Heike Kamerlingh Onnes
1973|Medicine|Nikolaas Tinbergen
1965|Chemistry|Robert B. Woodward
1904|Literature|JosÃ© Echegaray
1997|Peace|Jody Williams
1977|Medicine|Andrew V. Schally
1946|Literature|Hermann Hesse
1922|Medicine|Archibald V. Hill
1969|Medicine|Alfred D. Hershey
1992|Literature|Derek Walcott
1993|Physics|Russell A. Hulse
1998|Chemistry|Walter Kohn
1981|Economics|James Tobin
1973|Medicine|Karl von Frisch
1976|Peace|Betty Williams
1975|Chemistry|Vladimir Prelog
2003|Physics|Anthony J. Leggett
2004|Economics|Edward C. Prescott
